instance_id,state,scramble_depth,source
puzzle4x4_d27_seed6,12 4 2 3 9 5 14 7 8 1 6 0 13 10 15 11,depth_27,scramble
puzzle4x4_d27_seed7,1 2 6 0 8 4 7 3 13 5 15 11 12 9 10 14,depth_27,scramble
puzzle4x4_d27_seed8,4 1 2 3 6 13 0 10 8 9 11 7 12 5 14 15,depth_27,scramble
puzzle4x4_d27_seed9,3 0 10 7 5 1 6 11 2 8 14 9 4 12 13 15,depth_27,scramble
puzzle4x4_d28_seed0,5 6 1 3 4 2 10 0 8 12 9 7 13 14 15 11,depth_28,scramble
puzzle4x4_d28_seed1,4 1 2 3 11 0 5 15 6 8 7 14 12 9 13 10,depth_28,scramble
puzzle4x4_d28_seed2,4 1 2 3 8 6 7 9 12 5 15 11 13 0 14 10,depth_28,scramble
puzzle4x4_d28_seed3,5 4 1 7 9 10 2 11 8 6 3 15 12 0 13 14,depth_28,scramble
puzzle4x4_d28_seed4,1 9 2 6 5 0 14 3 4 10 15 7 8 12 13 11,depth_28,scramble
puzzle4x4_d28_seed5,4 2 0 10 12 5 7 3 1 8 9 6 13 14 15 11,depth_28,scramble
puzzle4x4_d28_seed6,4 2 3 7 1 12 10 6 8 5 13 11 9 0 14 15,depth_28,scramble
puzzle4x4_d28_seed7,1 3 0 7 4 5 6 2 13 9 11 15 10 12 8 14,depth_28,scramble
puzzle4x4_d28_seed8,4 1 9 2 8 5 6 0 12 14 7 3 10 13 15 11,depth_28,scramble
puzzle4x4_d28_seed9,8 4 3 7 13 2 1 0 14 5 12 11 10 9 6 15,depth_28,scramble
puzzle4x4_d29_seed0,2 0 7 6 4 9 8 1 12 5 10 3 13 14 15 11,depth_29,scramble
puzzle4x4_d29_seed1,4 1 3 6 8 5 9 2 12 0 14 7 13 10 15 11,depth_29,scramble
puzzle4x4_d29_seed2,6 4 1 3 7 9 10 5 8 11 14 0 12 13 15 2,depth_29,scramble
puzzle4x4_d29_seed3,12 4 3 0 6 8 1 2 13 9 11 7 14 5 10 15,depth_29,scramble
puzzle4x4_d29_seed4,9 0 3 7 1 4 6 2 5 8 10 11 12 13 14 15,depth_29,scramble
puzzle4x4_d29_seed5,4 5 3 10 2 9 6 7 1 0 14 11 8 12 13 15,depth_29,scramble
puzzle4x4_d29_seed6,8 0 2 3 5 4 14 6 1 13 12 7 9 15 10 11,depth_29,scramble
puzzle4x4_d29_seed7,1 2 7 3 8 4 6 5 9 10 15 14 12 13 0 11,depth_29,scramble
puzzle4x4_d29_seed8,1 9 2 3 0 4 5 11 8 13 12 15 14 10 6 7,depth_29,scramble
puzzle4x4_d29_seed9,2 0 3 7 1 5 11 15 4 9 6 14 12 13 8 10,depth_29,scramble
puzzle4x4_d30_seed0,13 1 5 7 2 9 3 11 8 4 0 10 12 14 6 15,depth_30,scramble
puzzle4x4_d30_seed1,5 1 2 3 4 9 6 7 8 13 11 15 14 12 10 0,depth_30,scramble
puzzle4x4_d30_seed2,1 5 2 3 9 0 6 11 4 8 7 10 12 13 14 15,depth_30,scramble
puzzle4x4_d30_seed3,1 5 2 11 4 0 3 7 8 10 13 6 12 9 14 15,depth_30,scramble
puzzle4x4_d30_seed4,1 4 3 7 2 0 6 15 8 12 9 10 13 5 14 11,depth_30,scramble
puzzle4x4_d30_seed5,1 10 5 3 4 12 2 0 9 13 14 7 8 15 11 6,depth_30,scramble
puzzle4x4_d30_seed6,1 9 5 6 8 4 3 0 12 7 2 11 13 10 14 15,depth_30,scramble
puzzle4x4_d30_seed7,4 7 1 6 8 0 5 3 13 12 2 11 9 14 10 15,depth_30,scramble
puzzle4x4_d30_seed8,1 2 7 3 9 13 6 5 0 12 10 11 4 8 14 15,depth_30,scramble
puzzle4x4_d30_seed9,5 2 10 3 1 0 7 14 6 4 11 13 9 8 12 15,depth_30,scramble
puzzle4x4_d31_seed0,1 6 11 3 8 4 9 7 12 10 14 5 13 2 0 15,depth_31,scramble
puzzle4x4_d31_seed1,5 9 6 2 1 13 11 3 4 12 10 14 0 8 15 7,depth_31,scramble
puzzle4x4_d31_seed2,4 14 1 2 8 6 0 3 12 5 13 7 10 15 9 11,depth_31,scramble
puzzle4x4_d31_seed3,1 5 2 3 4 13 7 10 8 6 15 11 12 9 0 14,depth_31,scramble
puzzle4x4_d31_seed4,5 2 7 11 12 9 3 15 1 4 6 0 13 14 8 10,depth_31,scramble
puzzle4x4_d31_seed5,1 2 7 0 4 6 5 11 13 14 9 3 8 12 15 10,depth_31,scramble
puzzle4x4_d31_seed6,2 3 11 7 1 4 0 15 9 5 12 6 8 13 10 14,depth_31,scramble
puzzle4x4_d31_seed7,8 4 5 7 1 3 0 6 9 13 2 11 12 14 10 15,depth_31,scramble
puzzle4x4_d31_seed8,4 1 3 7 0 9 2 15 5 14 11 6 8 12 10 13,depth_31,scramble
puzzle4x4_d31_seed9,8 4 2 3 1 5 0 6 12 14 10 7 9 13 15 11,depth_31,scramble
puzzle4x4_d32_seed0,0 2 6 3 1 4 11 13 8 5 14 10 12 9 7 15,depth_32,scramble
puzzle4x4_d32_seed1,1 5 7 9 4 0 2 3 8 6 10 11 12 13 14 15,depth_32,scramble
puzzle4x4_d32_seed2,1 5 4 6 8 9 2 0 12 10 15 3 13 11 7 14,depth_32,scramble
puzzle4x4_d32_seed3,5 1 2 3 9 10 4 15 0 6 7 11 8 12 13 14,depth_32,scramble
puzzle4x4_d32_seed4,4 12 1 7 5 3 11 15 8 9 10 2 13 0 6 14,depth_32,scramble
puzzle4x4_d32_seed5,7 1 5 3 4 15 2 11 0 9 14 6 8 12 10 13,depth_32,scramble
puzzle4x4_d32_seed6,1 2 7 6 9 5 3 4 12 14 0 10 13 8 15 11,depth_32,scramble
puzzle4x4_d32_seed7,5 4 0 3 8 6 2 1 12 9 10 7 13 14 11 15,depth_32,scramble
puzzle4x4_d32_seed8,2 6 14 10 1 0 5 3 4 9 7 15 12 13 8 11,depth_32,scramble
puzzle4x4_d32_seed9,5 4 6 3 2 1 10 7 9 14 0 11 12 13 8 15,depth_32,scramble
puzzle4x4_d33_seed0,5 3 8 11 1 2 7 15 9 4 13 0 12 10 14 6,depth_33,scramble
puzzle4x4_d33_seed1,5 2 6 3 8 4 7 11 9 1 13 0 12 15 14 10,depth_33,scramble
puzzle4x4_d33_seed2,5 6 2 3 9 14 0 7 1 4 11 15 8 12 10 13,depth_33,scramble
puzzle4x4_d33_seed3,4 10 6 3 2 1 9 11 8 5 7 15 12 13 0 14,depth_33,scramble
puzzle4x4_d33_seed4,8 5 6 7 4 1 2 3 14 9 11 0 12 13 10 15,depth_33,scramble
puzzle4x4_d33_seed5,1 2 7 0 4 5 3 6 9 8 14 11 12 13 10 15,depth_33,scramble
puzzle4x4_d33_seed6,4 1 3 7 5 10 9 2 8 14 11 0 12 6 13 15,depth_33,scramble
puzzle4x4_d33_seed7,8 2 3 7 1 5 0 15 6 4 14 10 12 13 9 11,depth_33,scramble
puzzle4x4_d33_seed8,4 2 7 0 5 1 3 11 9 14 15 10 8 12 6 13,depth_33,scramble
puzzle4x4_d33_seed9,4 2 7 6 8 11 13 10 9 14 3 15 0 12 5 1,depth_33,scramble
puzzle4x4_d34_seed0,4 1 2 3 9 0 8 6 12 13 5 11 14 15 7 10,depth_34,scramble
puzzle4x4_d34_seed1,4 1 7 9 5 2 10 3 0 13 6 11 8 12 14 15,depth_34,scramble
puzzle4x4_d34_seed2,8 3 6 7 4 2 11 0 1 5 13 14 9 12 10 15,depth_34,scramble
puzzle4x4_d34_seed3,4 1 0 2 8 5 7 3 10 13 15 6 12 9 14 11,depth_34,scramble
puzzle4x4_d34_seed4,1 2 3 4 12 0 11 10 8 5 7 15 6 13 9 14,depth_34,scramble
puzzle4x4_d34_seed5,1 5 6 2 4 14 3 7 0 13 15 10 8 9 12 11,depth_34,scramble
puzzle4x4_d34_seed6,4 1 7 2 9 5 6 3 8 14 0 11 12 10 15 13,depth_34,scramble
puzzle4x4_d34_seed7,1 5 6 2 8 13 3 7 0 12 10 11 9 4 14 15,depth_34,scramble
puzzle4x4_d34_seed8,5 4 1 6 9 13 3 2 12 15 0 8 14 10 11 7,depth_34,scramble
puzzle4x4_d34_seed9,9 5 1 3 6 4 2 7 0 8 14 11 12 13 15 10,depth_34,scramble
puzzle4x4_d35_seed0,10 5 4 2 1 7 6 3 8 14 13 11 12 9 0 15,depth_35,scramble
puzzle4x4_d35_seed1,4 1 5 7 0 8 3 2 10 9 6 14 12 13 15 11,depth_35,scramble
puzzle4x4_d35_seed2,4 1 3 7 6 9 0 11 14 5 2 10 12 8 13 15,depth_35,scramble
puzzle4x4_d35_seed3,5 1 6 2 0 8 4 3 9 12 10 7 14 15 13 11,depth_35,scramble
puzzle4x4_d35_seed4,9 1 7 5 12 2 3 6 4 13 10 0 8 14 15 11,depth_35,scramble
puzzle4x4_d35_seed5,1 4 5 7 8 2 3 6 9 10 14 0 12 13 15 11,depth_35,scramble
puzzle4x4_d35_seed6,1 5 2 10 4 6 0 7 9 14 11 3 8 12 13 15,depth_35,scramble
puzzle4x4_d35_seed7,10 4 3 7 1 2 5 6 12 8 13 11 14 9 0 15,depth_35,scramble
puzzle4x4_d35_seed8,4 2 7 11 9 13 1 3 5 0 6 15 8 12 10 14,depth_35,scramble
puzzle4x4_d35_seed9,4 1 5 6 12 9 11 3 10 0 8 15 13 2 14 7,depth_35,scramble
puzzle4x4_d36_seed0,4 2 3 11 13 7 9 0 8 1 6 15 5 12 14 10,depth_36,scramble
puzzle4x4_d36_seed1,2 3 11 10 1 9 7 14 4 8 0 6 12 5 15 13,depth_36,scramble
puzzle4x4_d36_seed2,5 3 4 11 2 8 7 10 6 9 0 15 1 12 13 14,depth_36,scramble
puzzle4x4_d36_seed3,2 4 7 6 1 3 11 15 12 5 0 10 9 8 13 14,depth_36,scramble
puzzle4x4_d36_seed4,4 10 7 9 8 3 5 2 12 1 6 11 13 0 14 15,depth_36,scramble
puzzle4x4_d36_seed5,1 5 6 2 12 4 9 3 13 8 0 7 11 14 10 15,depth_36,scramble
puzzle4x4_d36_seed6,5 2 3 15 1 8 14 0 10 4 13 7 9 12 6 11,depth_36,scramble
puzzle4x4_d36_seed7,4 9 1 7 5 13 6 2 12 8 15 11 14 0 10 3,depth_36,scramble
puzzle4x4_d36_seed8,4 7 1 11 5 0 2 10 9 15 3 14 8 12 13 6,depth_36,scramble
puzzle4x4_d36_seed9,8 1 0 3 12 2 5 10 6 4 9 7 13 14 15 11,depth_36,scramble
puzzle4x4_d37_seed0,1 2 8 7 0 10 3 6 4 9 5 11 12 13 14 15,depth_37,scramble
puzzle4x4_d37_seed1,1 2 11 7 4 5 3 15 8 12 14 0 10 6 13 9,depth_37,scramble
puzzle4x4_d37_seed2,8 4 6 1 5 13 10 2 9 14 3 0 12 15 11 7,depth_37,scramble
puzzle4x4_d37_seed3,8 3 10 2 6 1 0 5 4 13 11 7 9 12 14 15,depth_37,scramble
puzzle4x4_d37_seed4,1 5 2 3 12 4 9 7 8 0 6 11 10 13 14 15,depth_37,scramble
puzzle4x4_d37_seed5,2 6 15 3 1 4 8 5 12 0 9 7 10 13 11 14,depth_37,scramble
puzzle4x4_d37_seed6,4 1 5 2 13 6 7 3 8 0 10 11 12 9 14 15,depth_37,scramble
puzzle4x4_d37_seed7,4 1 2 3 13 5 6 10 11 0 7 15 12 14 9 8,depth_37,scramble
puzzle4x4_d37_seed8,2 6 3 7 4 1 10 9 13 0 15 14 8 11 5 12,depth_37,scramble
puzzle4x4_d37_seed9,1 0 6 3 2 5 10 7 8 4 9 15 12 13 11 14,depth_37,scramble
puzzle4x4_d38_seed0,4 2 0 3 12 1 7 6 5 15 8 9 13 14 10 11,depth_38,scramble
puzzle4x4_d38_seed1,4 1 2 7 6 0 15 11 5 13 3 10 8 14 12 9,depth_38,scramble
puzzle4x4_d38_seed2,12 1 4 7 8 2 6 0 3 13 5 11 9 10 14 15,depth_38,scramble
puzzle4x4_d38_seed3,1 5 11 3 8 4 2 0 12 15 7 10 13 9 6 14,depth_38,scramble
puzzle4x4_d38_seed4,1 2 6 3 13 9 7 11 8 10 5 15 14 0 4 12,depth_38,scramble
puzzle4x4_d38_seed5,2 4 3 6 1 14 9 0 8 5 11 13 10 12 15 7,depth_38,scramble
puzzle4x4_d38_seed6,8 2 0 3 1 4 6 7 5 10 15 11 13 9 12 14,depth_38,scramble
puzzle4x4_d38_seed7,1 3 0 2 4 8 7 11 12 6 15 14 13 5 10 9,depth_38,scramble
puzzle4x4_d38_seed8,6 5 9 3 1 4 2 7 8 14 0 11 12 13 15 10,depth_38,scramble
puzzle4x4_d38_seed9,0 4 5 10 8 6 7 3 12 2 9 11 13 1 14 15,depth_38,scramble
puzzle4x4_d39_seed0,1 0 6 11 8 5 10 2 4 9 14 3 13 12 15 7,depth_39,scramble
puzzle4x4_d39_seed1,2 6 3 9 4 8 0 5 1 12 11 15 13 14 7 10,depth_39,scramble
puzzle4x4_d39_seed2,3 4 7 10 0 5 6 2 8 13 1 11 12 14 9 15,depth_39,scramble
puzzle4x4_d39_seed3,1 8 10 3 0 6 15 2 4 12 11 7 5 13 9 14,depth_39,scramble
puzzle4x4_d39_seed4,2 6 3 7 1 5 15 12 4 8 13 0 14 10 9 11,depth_39,scramble
puzzle4x4_d39_seed5,1 2 6 3 8 4 5 7 12 9 10 11 13 14 0 15,depth_39,scramble
puzzle4x4_d39_seed6,1 5 6 2 4 14 9 3 12 0 8 15 10 7 11 13,depth_39,scramble
puzzle4x4_d39_seed7,2 7 6 10 9 3 0 5 13 1 11 15 4 8 12 14,depth_39,scramble
puzzle4x4_d39_seed8,4 1 9 2 8 13 5 3 12 7 11 0 14 15 6 10,depth_39,scramble
puzzle4x4_d39_seed9,1 2 3 15 7 11 6 13 10 0 4 14 8 9 5 12,depth_39,scramble
puzzle4x4_d40_seed0,5 14 2 3 1 0 10 7 4 12 11 13 9 8 15 6,depth_40,scramble
puzzle4x4_d40_seed1,1 2 6 3 8 4 5 15 12 7 0 14 10 9 11 13,depth_40,scramble
puzzle4x4_d40_seed2,8 5 3 11 12 4 2 0 14 1 9 7 10 13 6 15,depth_40,scramble
puzzle4x4_d40_seed3,0 4 1 7 5 10 2 14 8 9 13 15 3 6 12 11,depth_40,scramble
puzzle4x4_d40_seed4,14 8 1 4 12 6 5 3 0 2 7 11 13 9 10 15,depth_40,scramble
puzzle4x4_d40_seed5,8 4 3 11 1 0 5 2 9 13 7 15 12 14 6 10,depth_40,scramble
puzzle4x4_d40_seed6,1 5 10 3 4 11 7 0 12 9 6 2 13 14 8 15,depth_40,scramble
puzzle4x4_d40_seed7,5 2 14 7 1 9 15 6 4 10 0 8 12 13 3 11,depth_40,scramble
puzzle4x4_d40_seed8,7 4 1 2 5 12 6 10 0 8 15 3 9 13 14 11,depth_40,scramble
puzzle4x4_d40_seed9,4 6 7 2 1 0 8 3 13 12 10 5 9 14 15 11,depth_40,scramble
